blue_picks,blue_bans,red_picks,red_bans,blue_win,red_win,game_duration,game_version,queue_id,match_id
"['Fiora', 'Jayce', 'Kassadin', 'Draven', 'Senna']","['Taliyah', 'Pyke', 'Lux', 'Rengar', 'Riven']","['Yasuo', 'Khazix', 'Ryze', 'Ziggs', 'Sona']","['Akshan', 'Sivir', 'Riven', 'Jax', 'Qiyana']",False,True,1361,16.2.741.3171,420,NA1_5482554837
"['Varus', 'Jayce', 'Ryze', 'Kassadin', 'Soraka']","['Rengar', 'Blitzcrank', 'Twitch', 'Thresh', 'Riven']","['Aatrox', 'Rammus', 'Ahri', 'Ziggs', 'Sona']","['Sivir', 'Zoe', 'Zac', 'Lillia', ""Kha'Zix""]",False,True,1588,16.2.740.1491,420,NA1_5472436472
"['Jax', 'Khazix', 'Syndra', 'Kaisa', 'Neeko']","['Gwen', 'Zed', 'Rengar', 'Fiddlesticks']","['Sion', 'Kindred', 'Zoe', 'Caitlyn', 'Karma']","['Draven', 'Sona', 'Akshan', 'Ambessa', 'Riven']",True,False,2038,16.3.745.7600,420,NA1_5494454052
"['Kennen', 'Ekko', 'Zed', 'Ziggs', 'Sona']","['Malphite', 'Jayce', 'Thresh', 'Varus', 'Zoe']","['Lucian', 'Khazix', 'Ahri', 'Corki', 'Nami']","['Syndra', 'Riven', 'Rengar', 'Pyke']",True,False,2043,16.3.744.7656,420,NA1_5486679808
"['Yasuo', 'Graves', 'Fizz', 'Corki', 'Pantheon']","['Renata Glasc', 'Riven', 'Sona', ""Bel'Veth"", 'Sylas']","['Varus', 'Jayce', 'Ryze', 'Jinx', 'Thresh']","['Milio', 'Udyr', 'Akshan', 'Malphite', 'Lucian']",True,False,1923,16.3.744.1639,420,NA1_5484831403
"['Aurora', 'Naafiri', 'Akali', 'MissFortune', 'Bard']","['Rengar', 'Gangplank', 'Jarvan IV', 'Poppy', 'Sona']","['Sion', 'Talon', 'Zilean', 'Zyra', 'Neeko']","['Syndra', 'Sona', 'Riven', 'Nautilus', ""Kha'Zix""]",True,False,2745,16.3.744.7656,420,NA1_5488213414
"['Vayne', 'Kindred', 'Kennen', 'Seraphine', 'Soraka']","['Riven', 'Sivir', 'Syndra', 'Pantheon', 'Rengar']","['Singed', 'Karthus', 'Zed', 'Smolder', 'Janna']","['Mel', 'Sona', 'Malphite', 'Gwen', 'Zoe']",True,False,1615,16.2.741.3171,420,NA1_5482491504
"['Gnar', 'Jayce', 'Kayle', 'Xayah', 'Nautilus']","['Azir', 'Rengar', 'Evelynn', 'Pyke']","['Rumble', 'Nocturne', 'Orianna', 'Caitlyn', 'Braum']","['Shaco', 'Rengar', 'Mel', 'Riven', 'Sona']",False,True,1483,16.3.745.7600,420,NA1_5491558106
"['Jax', 'Ambessa', 'Xerath', 'Mel', 'Senna']","[""Kha'Zix"", 'Akali', 'Zac', 'Darius', 'Lux']","['Gnar', 'LeeSin', 'Aurora', 'Yunara', 'Lulu']","['Nautilus', 'Sona', 'Naafiri', 'Rengar', 'Gangplank']",False,True,1191,16.3.745.7600,420,NA1_5493583602
"['Gwen', 'Nidalee', 'Yone', 'Yunara', 'Nautilus']","['Jayce', 'Zed', 'Naafiri', 'Ryze']","['Vayne', 'Sion', 'Azir', 'Zilean', 'Senna']","['Ambessa', 'Neeko', 'Pyke', 'Rengar', 'Sona']",False,True,2070,16.3.744.7656,420,NA1_5487389225
